Name	Day	Start time	End time	Week pattern	Location	Room Size	Class Size	Staff	Department	Any Problems? as !
ACCP002.L#	Friday	14:05	15:55	"3-6, 8-9"	C.LTW1	94	68	Colin Dey	MGTACF_PG	
ACCP002.S/01	Friday	10:05	10:55	"4, 6, 8, 10"	C.2A11	26	23		MGTACF_PG	
ACCP002.S/02	Friday	11:05	11:55	"4, 6, 8, 10"	C.2A11	26	23		MGTACF_PG	
ACCP002.S/03	Friday	12:05	12:55	"4, 6, 8, 10"	C.2A11	26	23		MGTACF_PG	
ACCU9A1.L#	Friday	13:05	13:55	"1-6, 8-12"	C.LTB3	112	100	Alan Goodacre	MGTACF UG	
ACCU9A1.L#	Monday	16:05	16:55	"2-6, 8-12"	C.LT2V1	142	100	Alan Goodacre	MGTACF UG	
ACCU9A1.L#	Wednesday	11:05	11:55	"1-5, 8-9, 11-12"	C.LT2V1	142	100	Alan Goodacre	MGTACF UG	
ACCU9A1.S/01	Monday	12:05	12:55	"2-6, 8-12"	C.2B85#	60	50	Alan Goodacre	MGTACF UG	
ACCU9A1.S/02	Monday	15:05	15:55	"2-6, 8-12"	C.2B85#	60	50	Alan Goodacre	MGTACF UG	
CSCU9A3.CL/01	Wednesday	10:05	11:55	"2-6, 8-12"	C.2A17	43	40	David Cairns/Marwan Fayed	NATCSM CS	
CSCU9A3.CL/02	Friday	10:05	11:55	"2-6, 8-12"	C.2A17	43	40	David Cairns/Marwan Fayed	NATCSM CS	
CSCU9A3.L#	Thursday	15:05	15:55	"1-6, 8-12"	C.LTA5	92	60	David Cairns/Leslie Smith	NATCSM CS	!
CSCU9A3.L#	Tuesday	15:05	15:55	"1-6, 8-12"	C.LTA5	92	70	David Cairns/Leslie Smith/Marwan Fayed	NATCSM CS	
CSCU9A3.L#	Wednesday	12:05	12:55	"1-6, 8-12"	C.LTB4	179	70	Leslie Smith/David Cairns	NATCSM CS	
CSCU9A3.S/01	Monday	09:05	09:55	"3-6, 8-12"	C.3X11	16	15	David Cairns/Marwan Fayed	NATCSM CS	
CSCU9A3.S/02	Monday	10:05	10:55	"3-6, 8-12"	C.3X11	16	15	David Cairns/Marwan Fayed	NATCSM CS	
CSCU9A3.S/03	Monday	11:05	11:55	"3-6, 8-12"	C.3X11	16	15	David Cairns/Marwan Fayed	NATCSM CS	
CSCU9A3.S/04	Tuesday	09:05	09:55	"3-6, 8-12"	C.2V3	20	15	David Cairns/Marwan Fayed	NATCSM CS	
CSCU9A3.S/05	Thursday	16:05	16:55	"3-6, 8-12"	C.2V3	20	15	David Cairns/Marwan Fayed	NATCSM CS	
MATU9D1.L#	Friday	09:05	09:55	"1-6, 8-12"	C.LTB3	112	100		NATCSM M	!
MATU9D1.L#	Monday	14:05	14:55	"2-6, 8-12"	C.LTB4	179	100	Donald Smith/Jessica Enright	NATCSM M	
MATU9D1.L#	Tuesday	09:05	09:55	"1-6, 8-12"	C.LTB3	112	100	Donald Smith/Jessica Enright	NATCSM M	
MATU9D1.L#	Tuesday	13:05	13:55	"1-6, 8-12"	C.LTA4	237	100	Donald Smith/Jessica Enright	NATCSM M	!
MATU9D1.S/01	Monday	11:05	12:30	"2-6, 8-12"	C.4X4	14	12	Jessica Enright	NATCSM M	
MATU9D1.S/02	Monday	12:05	13:30	"2-6, 8-12"	C.4X2	20	12	Donald Smith	NATCSM M	
MATU9D1.S/03	Monday	16:05	17:30	"2-6, 8-12"	C.4X4	14	12	Jessica Enright	NATCSM M	
MATU9D1.S/04	Tuesday	11:30	12:55	"2-6, 8-12"	C.4X2	20	12	Jessica Enright	NATCSM M	
MATU9D1.S/05	Wednesday	11:30	12:55	"2-6, 8-12"	C.4X2	20	12	Jessica Enright	NATCSM M	
MATU9D1.S/06	Thursday	10:05	11:30	"2-6, 8-12"	C.4X2	20	12	Jessica Enright	NATCSM M	
MATU9D1.S/07	Thursday	11:30	12:55	"2-6, 8-12"	C.4X4	14	12	Jessica Enright	NATCSM M	
MATU9D1.S/08	Thursday	15:30	16:55	"2-6, 8-12"	C.4X2	20	12	Jessica Enright	NATCSM M	
MATU9D1.S/09	Friday	12:05	13:30	"2-6, 8-12"	C.4X4	14	12	Jessica Enright	NATCSM M	
MATU9D1.S/10	Friday	13:30	14:55	"2-6, 8-12"	C.4X4	14	12	Jessica Enright	NATCSM M	
MATU9D1.S/11	Friday	15:05	16:30	"2-6, 8-12"	C.4X4	14	12	Jessica Enright	NATCSM M	
